Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.16731E-7,0.000041673,0.001610965,1,0,0
4.44927E-7,0.000086166,0.001719867,0.999888306,0,0
4.81383E-7,0.000134304,0.001860657,0.999776611,0,0
6.12103E-7,0.000252086,0.002365326,0.999553222,0,0
7.05595E-7,0.0005281,0.002726109,0.999106445,0,0
8.5375E-7,0.001006306,0.00329757,0.998436278,0,0
1.35505E-6,0.002529628,0.005228731,0.996984251,0,0
1.75598E-6,0.005039845,0.00677056,0.995197141,0,0
2.3839E-6,0.010050239,0.009180507,0.992516475,0.001592357,0
3.39344E-6,0.025127154,0.013042846,0.986708366,0.001592357,0
4.2098E-6,0.050416106,0.016155123,0.979336535,0.003184713,0
5.16328E-6,0.100099118,0.019777702,0.967496928,0.003184713,0
6.49724E-6,0.200301343,0.02482344,0.948285491,0.00477707,0
7.4979E-6,0.300613308,0.028591442,0.932313191,0.00477707,0.012820513
8.38861E-6,0.400818889,0.031933173,0.918239696,0.00477707,0.025641026
9.25297E-6,0.500581889,0.035165044,0.905618229,0.006369427,0.025641026
9.92251E-6,0.60091051,0.037661063,0.893890316,0.006369427,0.032051282
1.044E-5,0.700573523,0.039585844,0.882944264,0.007961783,0.032051282
1.07524E-5,0.750439143,0.040746022,0.877694627,0.007961783,0.032051282
1.1079E-5,0.800782073,0.041957055,0.872556685,0.007961783,0.032051282
1.1612E-5,0.900782545,0.043930827,0.862727577,0.00955414,0.032051282
1.2264E-5,1.000034707,0.046339247,0.853456942,0.00955414,0.032051282
1.28721E-5,1.100553992,0.04858042,0.844521389,0.00955414,0.032051282
1.34728E-5,1.200520367,0.050789004,0.836032615,0.00955414,0.032051282
1.40188E-5,1.300840269,0.052791767,0.827878923,0.00955414,0.032051282
1.45883E-5,1.400919231,0.054876553,0.820060315,0.00955414,0.032051282
1.52242E-5,1.500945888,0.057199049,0.81257679,0.00955414,0.032051282
1.66196E-5,1.750766563,0.062275097,0.795040768,0.011146497,0.032051282
1.78451E-5,2.000264972,0.066710312,0.77884508,0.012738854,0.032051282
1.89102E-5,2.250674283,0.070548305,0.763654641,0.01433121,0.032051282
2.01365E-5,2.500071187,0.074947599,0.749357757,0.015923567,0.038461538
2.12329E-5,2.752120788,0.07886304,0.73573104,0.015923567,0.038461538
2.23789E-5,3.000330818,0.082937935,0.722997878,0.017515924,0.038461538
2.35409E-5,3.250196304,0.087051585,0.710823188,0.01910828,0.038461538
2.47772E-5,3.500976692,0.091407735,0.69920697,0.020700637,0.038461538
2.59402E-5,3.752359238,0.095486693,0.688149224,0.02388535,0.038461538
2.69623E-5,4.001517508,0.099056385,0.67764995,0.027070064,0.044871795
2.82232E-5,4.252737907,0.103440744,0.667485759,0.02866242,0.044871795
2.91854E-5,4.502728518,0.106772075,0.657768346,0.03343949,0.044871795
3.01875E-5,4.752054176,0.110228566,0.648386016,0.03343949,0.044871795
3.12358E-5,5.001022275,0.113829893,0.639338769,0.035031847,0.051282051
3.23928E-5,5.252615346,0.11778762,0.630514911,0.038216561,0.057692308
3.33422E-5,5.503177221,0.121021996,0.622026136,0.039808917,0.057692308
3.44155E-5,5.750513683,0.12466439,0.613872445,0.041401274,0.057692308
3.53745E-5,6.001973291,0.127906017,0.605830448,0.041401274,0.057692308
3.64139E-5,6.25342045,0.131405833,0.59801184,0.042993631,0.057692308
3.73972E-5,6.500793372,0.13470389,0.590528315,0.044585987,0.057692308
3.82993E-5,6.750410582,0.137718564,0.583156484,0.047770701,0.057692308
3.9258E-5,7.0023811,0.140910916,0.575896348,0.047770701,0.057692308
4.01379E-5,7.252760054,0.143830644,0.5688596,0.049363057,0.057692308
4.11512E-5,7.500598903,0.147180515,0.562046241,0.049363057,0.057692308
4.19651E-5,7.754060871,0.149861485,0.555232883,0.052547771,0.057692308
4.26741E-5,8.003813648,0.152190199,0.548642913,0.054140127,0.057692308
4.35111E-5,8.253741331,0.154931249,0.542164638,0.055732484,0.057692308
4.45684E-5,8.50020165,0.158380874,0.535909751,0.055732484,0.057692308
4.54217E-5,8.752204495,0.161154662,0.529654864,0.060509554,0.057692308
4.62277E-5,9.004479719,0.163766505,0.523511672,0.060509554,0.057692308
4.68663E-5,9.251174653,0.16583001,0.517591869,0.060509554,0.057692308
4.78528E-5,9.502162159,0.169007557,0.511672065,0.063694268,0.057692308
4.8555E-5,9.752788216,0.171262194,0.505863956,0.065286624,0.057692308
4.93805E-5,10.002438941,0.173904628,0.500167542,0.068471338,0.064102564
5.02756E-5,10.251328735,0.176760578,0.494582821,0.071656051,0.064102564
5.09592E-5,10.504440391,0.178934909,0.488998101,0.071656051,0.064102564
5.1662E-5,10.751118022,0.181164195,0.48363677,0.073248408,0.070512821
5.26088E-5,11.001565226,0.184158141,0.478275438,0.078025478,0.070512821
5.36173E-5,11.25133137,0.187335163,0.473025801,0.078025478,0.070512821
5.44657E-5,11.500186545,0.189998271,0.467887859,0.079617834,0.070512821
5.50542E-5,11.751809614,0.191840388,0.462749916,0.084394904,0.070512821
5.5821E-5,12.001481819,0.194234204,0.457723668,0.087579618,0.070512821
5.66001E-5,12.254532479,0.196659334,0.45269742,0.087579618,0.070512821
5.73154E-5,12.505112927,0.198879552,0.447782866,0.087579618,0.070512821
5.80794E-5,12.75307999,0.201243904,0.442980007,0.087579618,0.070512821
5.89021E-5,13.00485889,0.20378212,0.438177147,0.087579618,0.076923077
5.97466E-5,13.254064398,0.206379473,0.433485982,0.089171975,0.076923077
6.06322E-5,13.500700321,0.209093993,0.428906512,0.095541401,0.076923077
6.15086E-5,13.751135038,0.211771126,0.424327041,0.095541401,0.076923077
6.24684E-5,14.00558714,0.214692578,0.419747571,0.095541401,0.083333333
6.30235E-5,14.250365696,0.21637721,0.415391489,0.095541401,0.083333333
6.37652E-5,14.50390413,0.218622543,0.410923713,0.103503185,0.096153846
6.46055E-5,14.754206126,0.221158673,0.406567631,0.105095541,0.096153846
6.55581E-5,15.001916905,0.224023846,0.402323244,0.106687898,0.096153846
6.63496E-5,15.252594184,0.226396509,0.398078856,0.108280255,0.102564103
6.73044E-5,15.506336732,0.229248839,0.393834469,0.108280255,0.108974359
6.83247E-5,15.750367097,0.232285347,0.38981347,0.108280255,0.115384615
6.93447E-5,16.00508687,0.23530874,0.385680777,0.109872611,0.115384615
7.02094E-5,16.256536479,0.237862824,0.381659779,0.116242038,0.134615385
7.09786E-5,16.503604087,0.24012734,0.377750475,0.117834395,0.134615385
7.15279E-5,16.753112826,0.241740498,0.373841171,0.119426752,0.134615385
7.25841E-5,17.005367726,0.244832591,0.369931866,0.121019108,0.134615385
7.34351E-5,17.253509643,0.247314818,0.366134257,0.121019108,0.134615385
7.45151E-5,17.505154639,0.250453244,0.362336647,0.121019108,0.134615385
7.56024E-5,17.752651161,0.253599639,0.358650732,0.124203822,0.134615385
7.63567E-5,18.003405706,0.255774632,0.354964816,0.127388535,0.134615385
7.73372E-5,18.25708718,0.258592639,0.351278901,0.128980892,0.134615385
7.85044E-5,18.506477114,0.261933039,0.34770468,0.132165605,0.134615385
7.93216E-5,18.750944717,0.264262762,0.344242153,0.133757962,0.134615385
7.99776E-5,19.005772537,0.266127619,0.340667933,0.136942675,0.134615385
8.05911E-5,19.254757248,0.267867592,0.337205406,0.141719745,0.141025641
8.13382E-5,19.505830641,0.269980587,0.333742879,0.143312102,0.141025641
8.21993E-5,19.751268927,0.27240842,0.330392047,0.144904459,0.141025641
8.33394E-5,20.00810837,0.275610922,0.326929521,0.154458599,0.141025641
8.42227E-5,20.251014369,0.27808196,0.323690383,0.159235669,0.147435897
8.49802E-5,20.504861652,0.280194558,0.320339551,0.162420382,0.153846154
8.58416E-5,20.752687731,0.282589429,0.317100413,0.162420382,0.153846154
8.66781E-5,21.0026853,0.284907483,0.313861276,0.165605096,0.153846154
8.76187E-5,21.255314684,0.287504913,0.310622138,0.176751592,0.153846154
8.84504E-5,21.501901191,0.289793988,0.307494695,0.178343949,0.153846154
8.9137E-5,21.750324925,0.291677933,0.304367251,0.179936306,0.153846154
9.0078E-5,22.001261916,0.294251857,0.301239808,0.179936306,0.153846154
9.1099E-5,22.254828523,0.297034184,0.298112365,0.183121019,0.153846154
9.2011E-5,22.501774889,0.29951013,0.295096616,0.183121019,0.16025641
9.30206E-5,22.751450029,0.302240867,0.292080867,0.183121019,0.16025641
9.38123E-5,23.003660172,0.304374794,0.289065118,0.191082803,0.166666667
9.47712E-5,23.258114312,0.306950634,0.286049369,0.192675159,0.166666667
9.55715E-5,23.505518633,0.309093259,0.283145314,0.192675159,0.166666667
9.6767E-5,23.75533653,0.312281442,0.28024126,0.194267516,0.166666667
9.75064E-5,24.007936168,0.314246048,0.277337205,0.194267516,0.166666667
9.85547E-5,24.252883363,0.317021637,0.274544845,0.200636943,0.166666667
9.95086E-5,24.500561086,0.319537458,0.271752485,0.203821656,0.166666667
1.00301E-4,24.750481085,0.321621274,0.268960125,0.203821656,0.166666667
1.01205E-4,25.002517044,0.323988295,0.266167765,0.205414013,0.166666667
1.02153E-4,25.276920068,0.326464501,0.263152016,0.211783439,0.179487179
1.03029E-4,25.50265324,0.328743633,0.260694739,0.213375796,0.185897436
1.04088E-4,25.751211547,0.331486667,0.258014073,0.214968153,0.192307692
1.05257E-4,26.002531426,0.334502336,0.255333408,0.219745223,0.192307692
1.0601E-4,26.256253278,0.33643836,0.252652742,0.22133758,0.192307692
1.07153E-4,26.501743678,0.339367515,0.250083771,0.222929936,0.205128205
1.08417E-4,26.760494486,0.34259109,0.247403105,0.224522293,0.205128205
1.09316E-4,27.000245707,0.344871788,0.244945828,0.224522293,0.205128205
1.10696E-4,27.253394885,0.348361053,0.242376857,0.22611465,0.211538462
1.11982E-4,27.509498295,0.351595142,0.239807886,0.23089172,0.217948718
1.12933E-4,27.756968959,0.353975937,0.237350609,0.23089172,0.217948718
1.1377E-4,28.006335931,0.356066135,0.234893332,0.234076433,0.237179487
1.14507E-4,28.257527803,0.357899144,0.232436055,0.23566879,0.237179487
1.15613E-4,28.510929549,0.360640199,0.229978778,0.23566879,0.243589744
1.16257E-4,28.754313473,0.362231645,0.227633196,0.24522293,0.243589744
1.1751E-4,29.01141455,0.365314204,0.225175919,0.246815287,0.25
1.1845E-4,29.259222349,0.367619419,0.222830336,0.246815287,0.25
1.19711E-4,29.509327825,0.370697902,0.220484754,0.248407643,0.256410256
1.20946E-4,29.761959329,0.37369591,0.218139171,0.248407643,0.262820513
1.22349E-4,30.005570212,0.377087067,0.215905283,0.25,0.262820513
1.23516E-4,30.251543078,0.379893369,0.213671395,0.25477707,0.275641026
1.24997E-4,30.500037144,0.383436379,0.211437507,0.256369427,0.275641026
1.26409E-4,30.75131609,0.386794046,0.209203619,0.257961783,0.275641026
1.27281E-4,31.005243445,0.388859639,0.206969731,0.26433121,0.288461538
1.28323E-4,31.261035442,0.391319094,0.204735843,0.26433121,0.288461538
1.29438E-4,31.505930368,0.393938223,0.202613649,0.267515924,0.288461538
1.3033E-4,31.752833081,0.39602762,0.200491455,0.267515924,0.294871795
1.32225E-4,32.002068736,0.4004376,0.198369262,0.267515924,0.294871795
1.33569E-4,32.254817575,0.403548108,0.196247068,0.26910828,0.294871795
1.34539E-4,32.509582415,0.405781854,0.194124874,0.275477707,0.301282051
1.36579E-4,32.753644136,0.410453957,0.192114375,0.277070064,0.301282051
1.37938E-4,33.000647877,0.413545773,0.190103876,0.280254777,0.301282051
1.3901E-4,33.250008542,0.415973108,0.187981682,0.281847134,0.301282051
1.40585E-4,33.501703326,0.419519231,0.186082877,0.286624204,0.307692308
1.4188E-4,33.755592106,0.422421793,0.184072378,0.286624204,0.314102564
1.43391E-4,34.012579565,0.425787216,0.182061879,0.289808917,0.314102564
1.44923E-4,34.257603937,0.429180919,0.180163074,0.297770701,0.314102564
1.46779E-4,34.505696647,0.433264655,0.178264269,0.297770701,0.314102564
1.48099E-4,34.756593012,0.436152735,0.176365464,0.299363057,0.314102564
1.50407E-4,35.010347732,0.441164239,0.174466659,0.300955414,0.314102564
1.51274E-4,35.251802326,0.443034985,0.172679549,0.307324841,0.314102564
1.53784E-4,35.511175274,0.448419153,0.170780744,0.308917197,0.314102564
1.54912E-4,35.758072567,0.450819938,0.168993633,0.313694268,0.320512821
1.56701E-4,36.007527917,0.454606978,0.167206523,0.320063694,0.326923077
1.5772E-4,36.259293428,0.456754061,0.165419412,0.324840764,0.326923077
1.59081E-4,36.512525519,0.459606822,0.163632302,0.328025478,0.326923077
1.60198E-4,36.752094388,0.461937274,0.161956886,0.329617834,0.333333333
1.6144E-4,37.00942772,0.464515808,0.160169775,0.332802548,0.333333333
1.62375E-4,37.252419805,0.466450287,0.158494359,0.334394904,0.333333333
1.63865E-4,37.513536475,0.469516988,0.156707249,0.337579618,0.333333333
1.65471E-4,37.760934893,0.472802874,0.155031833,0.339171975,0.346153846
1.66953E-4,38.009842912,0.475816098,0.153356417,0.339171975,0.346153846
1.68605E-4,38.261364811,0.479155544,0.151681001,0.340764331,0.346153846
1.70118E-4,38.515681755,0.482196225,0.150005585,0.342356688,0.352564103
1.70914E-4,38.754472636,0.483788337,0.148441863,0.348726115,0.352564103
1.7241E-4,39.011965176,0.486767955,0.146766447,0.348726115,0.352564103
1.74254E-4,39.254670184,0.490415198,0.145202725,0.350318471,0.352564103
1.75749E-4,39.517397179,0.493355221,0.143527309,0.350318471,0.352564103
1.77361E-4,39.764376467,0.496504281,0.141963588,0.350318471,0.358974359
1.79741E-4,40.014320925,0.50111966,0.140399866,0.350318471,0.371794872
1.81206E-4,40.267139635,0.503939446,0.138836144,0.355095541,0.371794872
1.83352E-4,40.503971045,0.508040028,0.137384117,0.356687898,0.384615385
1.84764E-4,40.7616261,0.51071997,0.135820395,0.356687898,0.391025641
1.85901E-4,41.002657546,0.512867656,0.134368368,0.356687898,0.391025641
1.88389E-4,41.264997145,0.517535228,0.132804646,0.358280255,0.397435897
1.90296E-4,41.511519786,0.521080364,0.131352619,0.358280255,0.403846154
1.92226E-4,41.760328805,0.52464354,0.129900592,0.361464968,0.403846154
1.94168E-4,42.011415,0.528202266,0.128448565,0.366242038,0.403846154
1.96096E-4,42.265500983,0.531707723,0.126996537,0.367834395,0.403846154
1.97495E-4,42.501600777,0.534236283,0.125656205,0.367834395,0.403846154
1.99444E-4,42.759764133,0.537734798,0.124204177,0.369426752,0.403846154
2.00845E-4,43.019905451,0.540232834,0.12275215,0.375796178,0.403846154
2.02379E-4,43.261816819,0.542953536,0.121411817,0.378980892,0.403846154
2.04363E-4,43.506116141,0.546448702,0.120071484,0.378980892,0.403846154
2.06185E-4,43.752755038,0.549635377,0.118731152,0.382165605,0.403846154
2.10293E-4,44.003477995,0.556736182,0.117390819,0.385350318,0.41025641
2.11487E-4,44.256658302,0.558778817,0.116050486,0.388535032,0.41025641
2.15712E-4,44.513227679,0.565932596,0.114710153,0.390127389,0.41025641
2.17134E-4,44.751567874,0.568313706,0.113481515,0.391719745,0.41025641
2.19823E-4,45.014128115,0.572781639,0.112141182,0.391719745,0.416666667
2.21485E-4,45.256647507,0.575519451,0.110912543,0.394904459,0.416666667
2.23612E-4,45.50152858,0.578998433,0.109683905,0.396496815,0.416666667
2.25906E-4,45.77130799,0.582718612,0.108343572,0.401273885,0.416666667
2.28237E-4,46.021089187,0.586464084,0.107114934,0.404458599,0.416666667
2.30014E-4,46.2503343,0.589296854,0.10599799,0.407643312,0.416666667
2.32987E-4,46.505368251,0.593993726,0.104769351,0.412420382,0.416666667
2.34418E-4,46.762634549,0.59623571,0.103540713,0.420382166,0.423076923
